Index,CASRN,Chemical.Name,Source,Toxicity.Value,Organ,Reference,Effect,Dose.Converted,X.Doses,Dose,Dose.Unit1,Dose.Unit2,Final.Dose,N.Animal,Obs.Animal,Species,Strain,Sex,Effect.Sex,Route,No.Days,Duration,Duration.type
251,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,liver,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",liver tumors,Dose,4,0,mg/kg/day,mg/kg/day,0,80,6,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
251,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,liver,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",liver tumors,Dose,4,0.025,mg/kg/day,mg/kg/day,0.025,80,3,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
251,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,liver,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",liver tumors,Dose,4,0.05,mg/kg/day,mg/kg/day,0.05,80,11,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
251,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,liver,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",liver tumors,Dose,4,0.25,mg/kg/day,mg/kg/day,0.25,30,12,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
252,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,lung,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",lung tumors,Dose,4,0,mg/kg/day,mg/kg/day,0,80,6,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
252,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,lung,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",lung tumors,Dose,4,0.025,mg/kg/day,mg/kg/day,0.025,80,9,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
252,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,lung,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",lung tumors,Dose,4,0.05,mg/kg/day,mg/kg/day,0.05,80,20,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
252,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,lung,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",lung tumors,Dose,4,0.25,mg/kg/day,mg/kg/day,0.25,30,27,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
253,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,nasal passages,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",nasal tumors,Dose,4,0,mg/kg/day,mg/kg/day,0,80,0,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
253,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,nasal passages,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",nasal tumors,Dose,4,0.025,mg/kg/day,mg/kg/day,0.025,80,1,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
253,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,nasal passages,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",nasal tumors,Dose,4,0.05,mg/kg/day,mg/kg/day,0.05,80,2,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
253,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,nasal passages,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",nasal tumors,Dose,4,0.25,mg/kg/day,mg/kg/day,0.25,30,5,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
254,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,pancreas,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",pancreas exocrine tumors,Dose,4,0,mg/kg/day,mg/kg/day,0,80,1,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
254,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,pancreas,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",pancreas exocrine tumors,Dose,4,0.025,mg/kg/day,mg/kg/day,0.025,80,5,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
254,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,pancreas,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",pancreas exocrine tumors,Dose,4,0.05,mg/kg/day,mg/kg/day,0.05,80,9,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
254,64091914,4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,CalEPA,49,pancreas,"Rivenson A, Hoffmann D, Prokopczyk B, Amin S, Hecht S (1988). Induction of lung and exocrine pancreas tumors in F344 rats by tobacco-specific and areca-derived Nnitrosamines. Cancer Res 48:6912-6917.",pancreas exocrine tumors,Dose,4,0.25,mg/kg/day,mg/kg/day,0.25,30,2,Rat,Fischer 344,M,Both,Oral drinking water,NA,27,Duration
255,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,0,mg/kg/day,ppm,0,92,37,Mouse,CD-1,M/F,M,Oral diet,NA,2,Years
255,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,0.88,mg/kg/day,ppm,0.88,48,21,Mouse,CD-1,M/F,M,Oral diet,NA,2,Years
255,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,3.66,mg/kg/day,ppm,3.66,44,28,Mouse,CD-1,M/F,M,Oral diet,NA,2,Years
255,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,14.63,mg/kg/day,ppm,14.63,49,44,Mouse,CD-1,M/F,M,Oral diet,NA,2,Years
256,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,0,mg/kg/day,ppm,0,73,5,Mouse,CD-1,M/F,F,Oral diet,NA,2,Years
256,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,0.88,mg/kg/day,ppm,0.88,39,6,Mouse,CD-1,M/F,F,Oral diet,NA,2,Years
256,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,3.66,mg/kg/day,ppm,3.66,42,11,Mouse,CD-1,M/F,F,Oral diet,NA,2,Years
256,67747095,Prochloraz,IRIS,0.15,liver,"Nor-Am Chemical Company. 1983. MRID No. 00150409. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.",liver adenoma/carcinoma combined,HEq,4,14.63,mg/kg/day,ppm,14.63,44,39,Mouse,CD-1,M/F,F,Oral diet,NA,2,Years
257,72178020,Fomesafen,IRIS,0.19,liver,"Huntingdon Research Centre. 1985. Two-year feeding study of fomesafen in mice. Huntingdon Research Centre, Huntingdon, Cambridgeshire, England. (Cited in U.S. EPA, 1986)",liver adenomas and carcinomas,HEq,5,0,mg/kg-day,ppm,0,127,30,Mouse,CD-1,M/F,Both,Oral diet,NA,2,Years
257,72178020,Fomesafen,IRIS,0.19,liver,"Huntingdon Research Centre. 1985. Two-year feeding study of fomesafen in mice. Huntingdon Research Centre, Huntingdon, Cambridgeshire, England. (Cited in U.S. EPA, 1986)",liver adenomas and carcinomas,HEq,5,0.01,mg/kg-day,ppm,0.01,63,26,Mouse,CD-1,M/F,Both,Oral diet,NA,2,Years
257,72178020,Fomesafen,IRIS,0.19,liver,"Huntingdon Research Centre. 1985. Two-year feeding study of fomesafen in mice. Huntingdon Research Centre, Huntingdon, Cambridgeshire, England. (Cited in U.S. EPA, 1986)",liver adenomas and carcinomas,HEq,5,0.06,mg/kg-day,ppm,0.06,64,17,Mouse,CD-1,M/F,Both,Oral diet,NA,2,Years
257,72178020,Fomesafen,IRIS,0.19,liver,"Huntingdon Research Centre. 1985. Two-year feeding study of fomesafen in mice. Huntingdon Research Centre, Huntingdon, Cambridgeshire, England. (Cited in U.S. EPA, 1986)",liver adenomas and carcinomas,HEq,5,1.3,mg/kg-day,ppm,1.3,64,27,Mouse,CD-1,M/F,Both,Oral diet,NA,2,Years
257,72178020,Fomesafen,IRIS,0.19,liver,"Huntingdon Research Centre. 1985. Two-year feeding study of fomesafen in mice. Huntingdon Research Centre, Huntingdon, Cambridgeshire, England. (Cited in U.S. EPA, 1986)",liver adenomas and carcinomas,HEq,5,5.6,mg/kg-day,ppm,5.6,64,42,Mouse,CD-1,M/F,Both,Oral diet,NA,2,Years
258,77094112,"MeIQ(2-amino-3,4-dimethylimidazo[4,5-f]quinoline",CalEPA,1.5,liver,"Ohgaki H, Hasegawa H, Suenaga M, Kato T, Sato S, Takayama S, Sugimura T (1986). Induction of hepatocellular carcinoma and highly metastatic squamous cell carcinomas in the forestomach of mice by feeding 2-amino-3,4-dimethylimidazo[4,5-f]quinoline.
Carcinogenesis 7:1889-1893.",liver tumors,Dose,3,0,mg/kg/day,mg/kg/day,0,40,0,Mouse,CDF1,M/F,F,Oral diet,NA,91,Weeks
258,77094112,"MeIQ(2-amino-3,4-dimethylimidazo[4,5-f]quinoline",CalEPA,1.5,liver,"Ohgaki H, Hasegawa H, Suenaga M, Kato T, Sato S, Takayama S, Sugimura T (1986). Induction of hepatocellular carcinoma and highly metastatic squamous cell carcinomas in the forestomach of mice by feeding 2-amino-3,4-dimethylimidazo[4,5-f]quinoline.
Carcinogenesis 7:1889-1893.",liver tumors,Dose,3,13,mg/kg/day,mg/kg/day,13,36,4,Mouse,CDF1,M/F,F,Oral diet,NA,91,Weeks
258,77094112,"MeIQ(2-amino-3,4-dimethylimidazo[4,5-f]quinoline",CalEPA,1.5,liver,"Ohgaki H, Hasegawa H, Suenaga M, Kato T, Sato S, Takayama S, Sugimura T (1986). Induction of hepatocellular carcinoma and highly metastatic squamous cell carcinomas in the forestomach of mice by feeding 2-amino-3,4-dimethylimidazo[4,5-f]quinoline.
Carcinogenesis 7:1889-1893.",liver tumors,Dose,3,52,mg/kg/day,mg/kg/day,52,38,27,Mouse,CDF1,M/F,F,Oral diet,NA,91,Weeks
259,77094112,"MeIQ(2-amino-3,4-dimethylimidazo[4,5-f]quinoline",CalEPA,1.5,stomach/forestomach,"Ohgaki H, Hasegawa H, Suenaga M, Kato T, Sato S, Takayama S, Sugimura T (1986). Induction of hepatocellular carcinoma and highly metastatic squamous cell carcinomas in the forestomach of mice by feeding 2-amino-3,4-dimethylimidazo[4,5-f]quinoline.
Carcinogenesis 7:1889-1893.",forestomach tumors,Dose,3,0,mg/kg/day,mg/kg/day,0,40,0,Mouse,CDF1,M/F,Both,Oral diet,NA,91,Weeks
259,77094112,"MeIQ(2-amino-3,4-dimethylimidazo[4,5-f]quinoline",CalEPA,1.5,stomach/forestomach,"Ohgaki H, Hasegawa H, Suenaga M, Kato T, Sato S, Takayama S, Sugimura T (1986). Induction of hepatocellular carcinoma and highly metastatic squamous cell carcinomas in the forestomach of mice by feeding 2-amino-3,4-dimethylimidazo[4,5-f]quinoline.
Carcinogenesis 7:1889-1893.",forestomach tumors,Dose,3,13,mg/kg/day,mg/kg/day,13,36,19,Mouse,CDF1,M/F,Both,Oral diet,NA,91,Weeks
259,77094112,"MeIQ(2-amino-3,4-dimethylimidazo[4,5-f]quinoline",CalEPA,1.5,stomach/forestomach,"Ohgaki H, Hasegawa H, Suenaga M, Kato T, Sato S, Takayama S, Sugimura T (1986). Induction of hepatocellular carcinoma and highly metastatic squamous cell carcinomas in the forestomach of mice by feeding 2-amino-3,4-dimethylimidazo[4,5-f]quinoline.
Carcinogenesis 7:1889-1893.",forestomach tumors,Dose,3,52,mg/kg/day,mg/kg/day,52,38,34,Mouse,CDF1,M/F,Both,Oral diet,NA,91,Weeks
260,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,0,mg/kg/day,mg/kg/day,0,50,5,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
260,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,0.4,mg/kg/day,mg/kg/day,0.4,50,2,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
260,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,1.3,mg/kg/day,mg/kg/day,1.3,50,7,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
260,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,5,mg/kg/day,mg/kg/day,5,50,14,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
261,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,0,mg/kg/day,mg/kg/day,0,50,5,Rat,Wistar,M/F,F,Oral drinking water,NA,104,Weeks
261,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,0.6,mg/kg/day,mg/kg/day,0.6,50,10,Rat,Wistar,M/F,F,Oral drinking water,NA,104,Weeks
261,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,1.9,mg/kg/day,mg/kg/day,1.9,50,12,Rat,Wistar,M/F,F,Oral drinking water,NA,104,Weeks
261,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,adrenal glands,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",Adrenal gland cortical adenoma,Dose,4,6.6,mg/kg/day,mg/kg/day,6.6,50,16,Rat,Wistar,M/F,F,Oral drinking water,NA,104,Weeks
262,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,liver,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",liver adenoma or carcinoma,Dose,4,0,mg/kg/day,mg/kg/day,0,50,0,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
262,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,liver,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",liver adenoma or carcinoma,Dose,4,0.4,mg/kg/day,mg/kg/day,0.4,50,1,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
262,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,liver,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",liver adenoma or carcinoma,Dose,4,1.3,mg/kg/day,mg/kg/day,1.3,50,3,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
262,77439760,MX(3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone,CalEPA,6.4,liver,"Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J. (1997). Carcinogenicity of the drinking water mutagen 3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)- furanone in the rat. J Natl Cancer Inst 89(12):848-856.

Komulainen H, Kosma VM, Vaittinen SL, Vartiainen T, Kaliste-Korhonen E, Lotjonen S, Tuominen RK, Tuomisto J (2000). Carcinogenicity of 3-chloro-4-(dichloromethyl)-5-hydroxy(5H)-furanone (MX) in Wistar rats. Combined frequencies of indicated tumours. Personal communication from Dr. Hannu Komulainen, Laboratory of Toxicology, National Public Health Institute, Kuopio, Finland to Dr. Thomas McDonald, California Environmental Protection Agency, February 8, 2000.",liver adenoma or carcinoma,Dose,4,5,mg/kg/day,mg/kg/day,5,50,5,Rat,Wistar,M/F,M,Oral drinking water,NA,104,Weeks
